2023-11-16 17:21:09 - Creating converter from 3 to 5
2023-11-16 17:21:17 - (UNIFORM, scott, 10000, 57) - Time: 0.00147 s - Est.: 0.266 nats
2023-11-16 17:21:17 - (UNIFORM, scott, 10000, 58) - Time: 0.00145 s - Est.: 0.273 nats
2023-11-16 17:21:18 - (UNIFORM, scott, 10000, 59) - Time: 0.00144 s - Est.: 0.270 nats
2023-11-16 17:21:18 - (UNIFORM, scott, 10000, 60) - Time: 0.00145 s - Est.: 0.271 nats
2023-11-16 17:21:18 - (UNIFORM, scott, 10000, 61) - Time: 0.00146 s - Est.: 0.265 nats
2023-11-16 17:21:18 - (UNIFORM, scott, 10000, 62) - Time: 0.00143 s - Est.: 0.273 nats
2023-11-16 17:21:18 - (UNIFORM, scott, 10000, 63) - Time: 0.00141 s - Est.: 0.273 nats
2023-11-16 17:21:18 - (UNIFORM, scott, 10000, 64) - Time: 0.00142 s - Est.: 0.267 nats
2023-11-16 17:21:18 - (UNIFORM, scott, 10000, 65) - Time: 0.00143 s - Est.: 0.266 nats
2023-11-16 17:21:18 - (UNIFORM, scott, 10000, 66) - Time: 0.00144 s - Est.: 0.276 nats
2023-11-16 17:21:19 - (UNIFORM, scott, 10000, 67) - Time: 0.00143 s - Est.: 0.269 nats
2023-11-16 17:21:19 - (UNIFORM, scott, 10000, 68) - Time: 0.00148 s - Est.: 0.265 nats
2023-11-16 17:21:19 - (UNIFORM, scott, 10000, 69) - Time: 0.00146 s - Est.: 0.257 nats
2023-11-16 17:21:19 - (UNIFORM, scott, 10000, 70) - Time: 0.00144 s - Est.: 0.268 nats
2023-11-16 17:21:19 - (UNIFORM, scott, 10000, 71) - Time: 0.00142 s - Est.: 0.273 nats
2023-11-16 17:21:19 - (UNIFORM, scott, 10000, 72) - Time: 0.00146 s - Est.: 0.268 nats
2023-11-16 17:21:19 - (UNIFORM, scott, 10000, 73) - Time: 0.00149 s - Est.: 0.270 nats
2023-11-16 17:21:19 - (UNIFORM, scott, 10000, 74) - Time: 0.00148 s - Est.: 0.262 nats
2023-11-16 17:21:19 - (UNIFORM, scott, 10000, 75) - Time: 0.00154 s - Est.: 0.268 nats
2023-11-16 17:21:19 - (UNIFORM, scott, 10000, 76) - Time: 0.00144 s - Est.: 0.267 nats
2023-11-16 17:21:20 - (UNIFORM, scott, 10000, 77) - Time: 0.00148 s - Est.: 0.269 nats
2023-11-16 17:21:20 - (UNIFORM, scott, 10000, 78) - Time: 0.00146 s - Est.: 0.265 nats
2023-11-16 17:21:20 - (UNIFORM, scott, 10000, 79) - Time: 0.00151 s - Est.: 0.275 nats
